Property Name	Property Location	Price	Bedroom	Bathroom	Car Porch	Property Type	Built Up Area	Status
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 830,000(RM 829.17 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,001 sq. ft. 	 Partly furnished
Bangsar Puteri, Bangsar	Bangsar, Kuala Lumpur	RM 1,080,000(RM 720 per sq. ft.)	3	2	1	Condominium | Corner lot 	 Built-up : 1,500 sq. ft. 	 Fully furnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,100,000(RM 886.82 per sq. ft.)	3+1	3	2	Condominium | Corner lot 	 Built-up : 2,368 sq. ft. 	 Partly furnished
Lorong setiapuspa (Guarded), Medan Damansara, KL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 1,650,000(RM 687.5 per sq. ft.)	4	3	2	2-sty Terrace/Link House | Intermediate 	 Built-up : 2,400 sq. ft. 	 Partly furnished
Casaman, Parkcity Heights , Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 3,980,000(RM 924.29 per sq. ft.)	4+1	6	4	3-sty Terrace/Link House | Intermediate 	 Built-up : 4,306 sq. ft.	Unfurnished
Setia SKY Residences, KLCC	KLCC, Kuala Lumpur	RM 750,000(RM 710.9 per sq. ft.)	2+1	3	2	Serviced Residence | Corner lot 	 Built-up : 1,055 sq. ft. 	 Fully furnished
Jalan Setiajasa, lorong setiapuspa (Guarded), KL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 3,300,000(RM 1375 per sq. ft.)	4+1	4	4	2-sty Terrace/Link House | Corner lot 	 Built-up : 2,400 sq. ft.	Unfurnished
lorong setiapuspa (Guarded), KL, Damansara Heights	Damansara Heights, Kuala Lumpur	RM 2,888,000(RM 687.62 per sq. ft.)	5	5	4	2.5-sty Terrace/Link House | Intermediate 	 Built-up : 4,200 sq. ft.	Unfurnished
The Sentral Residences, KL Sentral	KL Sentral, Kuala Lumpur	RM 1,500,000(RM 1191.42 per sq. ft.)	2	2	1	Serviced Residence | Corner lot 	 Built-up : 1,259 sq. ft. 	 Partly furnished
Stonor 3, KLCC	KLCC, Kuala Lumpur	RM 1,300,000(RM 1492.54 per sq. ft.)	2	2	2	Condominium 	 Built-up : 871 sq. ft.	Unfurnished
Lexa Residence @ The Quartz WM, Wangsa Maju	Wangsa Maju, Kuala Lumpur	RM 500,000(RM 610.5 per sq. ft.)	3	2	2	Serviced Residence 	 Built-up : 819 sq. ft. 	 Partly furnished
Taman Damai Impian, Cheras	Cheras, Kuala Lumpur	RM 698,000(RM 387.78 per sq. ft.)	4	3	3	2-sty Terrace/Link House | Intermediate 	 Built-up : 1,800 sq. ft. 	 Partly furnished
The Breezeway Parkhomes, Desa ParkCity, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 3,200,000(RM 875.27 per sq. ft.)	5+1	6	5	3.5-sty Terrace/Link House | Corner lot 	 Built-up : 3,656 sq. ft. 	 Partly furnished
Tiffani Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,400,000(RM 647.25 per sq. ft.)	3+1	5	2	Condominium | Corner lot 	 Built-up : 2,163 sq. ft. 	 Fully furnished
Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)	Jalan Klang Lama (Old Klang Road), Kuala Lumpur	RM 748,000(RM 534.29 per sq. ft.)	3+1	3	2	Condominium | Intermediate 	 Built-up : 1,400 sq. ft. 	 Partly furnished
Sri Petaling	Sri Petaling, Kuala Lumpur	RM 2,200,000(RM 785.71 per sq. ft.)	4+1	5	4	2-sty Terrace/Link House | Corner lot 	 Built-up : 2,800 sq. ft. 	 Partly furnished
The Rainz, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,130,000(RM 964.16 per sq. ft.)	5	4	4	Condominium | Corner lot 	 Built-up : 1,172 sq. ft. 	 Partly furnished
LeVenue Garden, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 3,300,000(RM 785.71 per sq. ft.)	7+1	6	4	Semi-detached House | Intermediate 	 Built-up : 4,200 sq. ft. 	 Partly furnished
Mutiara Bukit Jalil, Bukit Jalil, Bukit Jalil	Bukit Jalil, Kuala Lumpur	RM 1,600,000(RM 441.99 per sq. ft.)	6	5	None	3-sty Terrace/Link House | Corner lot 	 Built-up : 3,620 sq. ft. 	 Partly furnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,600,000(RM 908.14 per sq. ft.)	4+1	5	4	Condominium 	 Built-up : 2,863 sq. ft. 	 Partly furnished
Setia Sky Seputeh, Seputeh	Seputeh, Kuala Lumpur	RM 2,800,000(RM 935.83 per sq. ft.)	5+1	6	4	Condominium 	 Built-up : 2,992 sq. ft. 	 Partly furnished
Taman Setapak, Jalan Gombak, Setapak	Setapak, Kuala Lumpur	RM 600,000(RM 428.57 per sq. ft.)	4	2	None	1-sty Terrace/Link House 	 Built-up : 1,400 sq. ft.	Unfurnished
Taman Sri Sinar , Segambut , Kepong , Segambut	Segambut, Kuala Lumpur	RM 430,000(RM 430 per sq. ft.)	3	2	None	2.5-sty Terrace/Link House | Intermediate 	 Built-up : 1,000 sq. ft. 	 Partly furnished
Hampton Height Damansara, Country Heights Damansara	Country Heights Damansara, Kuala Lumpur	RM 630,000(RM 688.52 per sq. ft.)	3	2	1	Serviced Residence 	 Built-up : 915 sq. ft. 	 Partly furnished
Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut	Segambut, Kuala Lumpur	RM 588,000(RM 575.91 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,021 sq. ft. 	 Partly furnished
Taman Setapak, Setapak	Setapak, Kuala Lumpur	RM 550,000(RM 392.86 per sq. ft.)	4	2	None	1-sty Terrace/Link House 	 Built-up : 1,400 sq. ft.	Unfurnished
Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut	Segambut, Kuala Lumpur	RM 630,000(RM 618.25 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,019 sq. ft. 	 Partly furnished
Dua Residency, KLCC	KLCC, Kuala Lumpur	RM 1,850,000(RM 799.14 per sq. ft.)	4+1	4	2	Condominium | Corner lot 	 Built-up : 2,315 sq. ft. 	 Partly furnished
The Estate, Kampung Kerinchi (Bangsar South)	Kampung Kerinchi (Bangsar South), Kuala Lumpur	RM 1,950,000(RM 755.81 per sq. ft.)	4+1	5	4	Condominium | Corner lot 	 Built-up : 2,580 sq. ft. 	 Partly furnished
The Sentral Residences, KL Sentral	KL Sentral, Kuala Lumpur	RM 4,230,000(RM 1386.89 per sq. ft.)	4+1	5	2	Serviced Residence | Corner lot 	 Built-up : 3,050 sq. ft. 	 Partly furnished
The Avare, KL City Centre, KLCC	KLCC, Kuala Lumpur	RM 2,599,999(RM 684.21 per sq. ft.)	4+3	6	3	Condominium | Corner lot 	 Built-up : 3,800 sq. ft. 	 Partly furnished
Kuchai Lama	Kuchai Lama, Kuala Lumpur	RM 1,600,000(RM 500 per sq. ft.)	4	3	2	Semi-detached House | End lot 	 Built-up : 3,200 sq. ft. 	 Fully furnished
La Grande Kiara, Bukit Kiara, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,025,000(RM 518.72 per sq. ft.)	3+1	3	2	Condominium 	 Built-up : 1,976 sq. ft. 	 Fully furnished
Arte Cheras, Taman Midah, Cheras	Cheras, Kuala Lumpur	RM 454,000(RM 512.42 per sq. ft.)	3	2	1	Serviced Residence 	 Built-up : 886 sq. ft.	Unfurnished
Pavilion Hilltop, Mont Kiara	Mont Kiara, Kuala Lumpur	RM 1,550,000(RM 1036.1 per sq. ft.)	3+1	4	2	Condominium | Intermediate 	 Built-up : 1,496 sq. ft. 	 Fully furnished
Aria, KLCC	KLCC, Kuala Lumpur	RM 2,160,000(RM 1438.08 per sq. ft.)	3	3	2	Serviced Residence 	 Built-up : 1,502 sq. ft. 	 Fully furnished
Rica Residence, Sentul	Sentul, Kuala Lumpur	RM 530,000(RM 482.7 per sq. ft.)	2+1	3	2	Serviced Residence | Intermediate 	 Built-up : 1,098 sq. ft. 	 Unfurnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 900,000(RM 701.48 per sq. ft.)	3	2	2	Condominium 	 Built-up : 1,283 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 960,000(RM 959.04 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,001 sq. ft. 	 Partly furnished
South Brooks, Desa ParkCity	Desa ParkCity, Kuala Lumpur	RM 960,000(RM 959.04 per sq. ft.)	2	2	2	Condominium 	 Built-up : 1,001 sq. ft. 	 Partly furnished
